"two_year_recid","sex","age","race","priors_count","juv_fel_count","juv_misd_count","charge","violent","risk_recidivism_score","hand","height"
"Did reoffend","Males",28,"African-Americans",2,0,0,"Individuals convicted of a Felony","Non-violent offences",2,"Right-handed individuals",5.28951350017266
"Did not reoffend","Males",44,"Caucasians",4,0,0,"Individuals convicted of a Felony","Non-violent offences",3,"Right-handed individuals",5.73195910166954
"Did not reoffend","Females",29,"Others",0,0,0,"Individuals convicted of a Felony","Non-violent offences",3,"Right-handed individuals",5.57759948324938
"Did reoffend","Males",21,"African-Americans",0,0,0,"Individuals convicted of a Felony","Non-violent offences",7,"Right-handed individuals",5.89898157283611
"Did not reoffend","Males",54,"Caucasians",0,0,0,"Individuals convicted of a Felony","Non-violent offences",1,"Right-handed individuals",5.25775293563092
"Did not reoffend","Males",45,"Hispanics",1,0,0,"Individuals convicted of a Felony","Non-violent offences",3,"Right-handed individuals",5.7151718913076
"Did reoffend","Females",20,"Caucasians",1,0,0,"Individuals convicted of a Felony","Non-violent offences",8,"Right-handed individuals",6.04691238718986
"Did reoffend","Males",34,"African-Americans",22,0,0,"Individuals convicted of a Felony","Non-violent offences",7,"Right-handed individuals",5.95364936369625
"Did not reoffend","Males",40,"Caucasians",0,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",2,"Right-handed individuals",5.97898237813627
"Did reoffend","Males",28,"Caucasians",4,0,0,"Individuals convicted of a Felony","Non-violent offences",4,"Right-handed individuals",5.48079580227913
"Did not reoffend","Males",31,"Others",1,0,0,"Individuals convicted of a Felony","Non-violent offences",2,"Right-handed individuals",5.33526980525702
"Did not reoffend","Females",37,"African-Americans",1,0,0,"Individuals convicted of a Felony","Non-violent offences",1,"Right-handed individuals",5.57709437574203
"Did reoffend","Males",34,"Hispanics",5,0,0,"Individuals convicted of a Felony","Non-violent offences",6,"Right-handed individuals",5.71153426639643
"Did not reoffend","Males",45,"Caucasians",2,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",2,"Right-handed individuals",5.56191404252109
"Did not reoffend","Males",29,"Caucasians",1,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",10,"Right-handed individuals",5.73756778913416
"Did not reoffend","Males",52,"Caucasians",1,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",1,"Right-handed individuals",5.509896157422
"Did not reoffend","Males",36,"Caucasians",1,0,0,"Individuals convicted of a Felony","Non-violent offences",2,"Right-handed individuals",5.5652301649345
"Did reoffend","Males",25,"African-Americans",4,0,0,"Individuals convicted of a Misdemeanor","Violent offences",3,"Left-handed individuals",5.4525212837668
"Did reoffend","Males",30,"Caucasians",0,0,0,"Individuals convicted of a Felony","Non-violent offences",4,"Right-handed individuals",5.85969362209606
"Did reoffend","Males",28,"Caucasians",1,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",2,"Right-handed individuals",5.43116926655058
"Did reoffend","Males",26,"African-Americans",20,0,2,"Individuals convicted of a Felony","Non-violent offences",9,"Right-handed individuals",5.88066295764783
"Did not reoffend","Females",26,"Caucasians",0,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",6,"Right-handed individuals",5.89075737669753
"Did reoffend","Males",30,"Caucasians",1,0,0,"Individuals convicted of a Felony","Non-violent offences",1,"Right-handed individuals",5.64403630708306
"Did not reoffend","Females",30,"Caucasians",1,0,0,"Individuals convicted of a Felony","Non-violent offences",2,"Right-handed individuals",5.31647130349604
"Did not reoffend","Males",47,"Caucasians",0,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",2,"Right-handed individuals",5.51046029673538
"Did not reoffend","Males",60,"African-Americans",0,0,0,"Individuals convicted of a Felony","Non-violent offences",1,"Right-handed individuals",5.20258940181909
"Did not reoffend","Males",32,"African-Americans",7,0,0,"Individuals convicted of a Felony","Non-violent offences",1,"Right-handed individuals",6.01470979286058
"Did not reoffend","Males",27,"African-Americans",4,0,0,"Individuals convicted of a Felony","Non-violent offences",4,"Right-handed individuals",5.66922964942162
"Did not reoffend","Males",34,"African-Americans",0,0,0,"Individuals convicted of a Felony","Non-violent offences",1,"Right-handed individuals",5.29164448515719
"Did not reoffend","Males",54,"Caucasians",2,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",1,"Right-handed individuals",5.61651622750416
"Did reoffend","Males",44,"African-Americans",10,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",4,"Right-handed individuals",5.83672320374882
"Did not reoffend","Males",29,"African-Americans",0,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",2,"Right-handed individuals",5.53959021917945
"Did reoffend","Males",57,"African-Americans",20,0,0,"Individuals convicted of a Felony","Non-violent offences",7,"Right-handed individuals",6.01167771533565
"Did not reoffend","Males",59,"African-Americans",1,0,0,"Individuals convicted of a Felony","Non-violent offences",4,"Right-handed individuals",5.81558823987113
"Did not reoffend","Males",29,"Caucasians",2,0,0,"Individuals convicted of a Felony","Non-violent offences",2,"Right-handed individuals",5.43369332231464
"Did reoffend","Males",26,"Caucasians",10,0,0,"Individuals convicted of a Felony","Non-violent offences",5,"Right-handed individuals",5.81032923014627
"Did reoffend","Males",38,"African-Americans",10,0,0,"Individuals convicted of a Felony","Non-violent offences",4,"Right-handed individuals",5.623135140313
"Did not reoffend","Males",25,"Others",0,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",1,"Right-handed individuals",5.76333791502077
"Did not reoffend","Males",27,"Caucasians",0,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",2,"Right-handed individuals",5.46811547626739
"Did not reoffend","Males",25,"Caucasians",0,0,0,"Individuals convicted of a Felony","Non-violent offences",3,"Right-handed individuals",5.34365866370618
"Did reoffend","Males",30,"Caucasians",1,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",3,"Right-handed individuals",5.3431367823531
"Did not reoffend","Males",24,"Caucasians",3,0,0,"Individuals convicted of a Felony","Non-violent offences",5,"Right-handed individuals",5.78657804737022
"Did not reoffend","Males",35,"African-Americans",1,0,0,"Individuals convicted of a Felony","Non-violent offences",2,"Right-handed individuals",5.2573900336144
"Did not reoffend","Females",26,"African-Americans",3,0,0,"Individuals convicted of a Felony","Non-violent offences",5,"Right-handed individuals",5.79481749100396
"Did not reoffend","Males",26,"African-Americans",7,0,0,"Individuals convicted of a Felony","Non-violent offences",6,"Right-handed individuals",5.96233726274945
"Did reoffend","Males",35,"Caucasians",3,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",4,"Right-handed individuals",5.41569514462893
"Did reoffend","Males",23,"African-Americans",1,0,0,"Individuals convicted of a Felony","Non-violent offences",10,"Right-handed individuals",5.57770131603042
"Did not reoffend","Males",29,"Hispanics",0,0,0,"Individuals convicted of a Felony","Non-violent offences",2,"Right-handed individuals",5.68048682534061
"Did reoffend","Males",51,"Caucasians",2,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",1,"Right-handed individuals",5.31691961328026
"Did reoffend","Males",45,"Caucasians",9,0,0,"Individuals convicted of a Felony","Non-violent offences",9,"Right-handed individuals",5.89330782940326
"Did reoffend","Males",24,"African-Americans",0,0,0,"Individuals convicted of a Felony","Non-violent offences",2,"Right-handed individuals",5.50952748252794
"Did not reoffend","Males",31,"African-Americans",6,0,0,"Individuals convicted of a Felony","Non-violent offences",8,"Right-handed individuals",6.17511673740035
"Did reoffend","Females",50,"Caucasians",0,0,0,"Individuals convicted of a Misdemeanor","Violent offences",3,"Left-handed individuals",5.40750777406071
"Did reoffend","Males",27,"African-Americans",0,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",1,"Right-handed individuals",5.59454436545148
"Did not reoffend","Males",22,"African-Americans",0,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",6,"Right-handed individuals",5.66541124274539
"Did reoffend","Males",23,"African-Americans",1,0,0,"Individuals convicted of a Felony","Non-violent offences",4,"Right-handed individuals",5.87387506737933
"Did not reoffend","Males",40,"Hispanics",0,0,0,"Individuals convicted of a Felony","Non-violent offences",1,"Right-handed individuals",5.31652361662816
"Did reoffend","Males",26,"Caucasians",0,0,0,"Individuals convicted of a Felony","Non-violent offences",7,"Right-handed individuals",5.89451897801913
"Did not reoffend","Males",34,"African-Americans",2,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",2,"Right-handed individuals",5.74569333504275
"Did reoffend","Males",23,"Hispanics",0,0,0,"Individuals convicted of a Felony","Non-violent offences",5,"Right-handed individuals",5.80742746130309
"Did reoffend","Males",24,"African-Americans",7,2,0,"Individuals convicted of a Misdemeanor","Non-violent offences",8,"Right-handed individuals",6.10284629058922
"Did not reoffend","Females",37,"African-Americans",3,0,0,"Individuals convicted of a Felony","Non-violent offences",1,"Right-handed individuals",5.66588534679293
"Did reoffend","Males",22,"Others",0,0,0,"Individuals convicted of a Felony","Non-violent offences",5,"Right-handed individuals",6.16557757476152
"Did not reoffend","Females",41,"Hispanics",0,0,0,"Individuals convicted of a Felony","Non-violent offences",1,"Right-handed individuals",5.43205890814603
"Did not reoffend","Males",26,"African-Americans",0,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",2,"Right-handed individuals",5.76992676660727
"Did not reoffend","Males",54,"Caucasians",0,0,0,"Individuals convicted of a Felony","Non-violent offences",1,"Right-handed individuals",5.39232492728308
"Did not reoffend","Males",30,"African-Americans",1,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",7,"Right-handed individuals",5.74895923540097
"Did reoffend","Males",21,"Caucasians",0,0,0,"Individuals convicted of a Felony","Violent offences",9,"Left-handed individuals",5.94208265652606
"Did reoffend","Males",41,"African-Americans",18,1,0,"Individuals convicted of a Felony","Non-violent offences",6,"Right-handed individuals",6.21322703254789
"Did not reoffend","Females",33,"Caucasians",0,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",2,"Right-handed individuals",5.77116188910591
"Did not reoffend","Males",38,"African-Americans",8,1,0,"Individuals convicted of a Misdemeanor","Non-violent offences",7,"Right-handed individuals",5.62104277548089
"Did reoffend","Males",24,"African-Americans",1,0,0,"Individuals convicted of a Misdemeanor","Violent offences",2,"Left-handed individuals",5.56257187805377
"Did reoffend","Males",27,"African-Americans",15,0,0,"Individuals convicted of a Felony","Non-violent offences",10,"Right-handed individuals",6.23915445700935
"Did not reoffend","Males",41,"African-Americans",2,0,0,"Individuals convicted of a Felony","Non-violent offences",5,"Right-handed individuals",5.55324625382313
"Did reoffend","Females",25,"Caucasians",2,0,0,"Individuals convicted of a Felony","Non-violent offences",5,"Right-handed individuals",5.51889448846473
"Did not reoffend","Males",56,"African-Americans",1,0,0,"Individuals convicted of a Felony","Non-violent offences",1,"Right-handed individuals",5.49290068112881
"Did reoffend","Females",23,"African-Americans",2,0,0,"Individuals convicted of a Felony","Non-violent offences",7,"Right-handed individuals",6.13883830994252
"Did not reoffend","Males",22,"African-Americans",0,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",4,"Right-handed individuals",5.84926991320663
"Did not reoffend","Males",55,"Caucasians",2,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",1,"Right-handed individuals",5.43055595203153
"Did reoffend","Males",25,"Others",1,0,0,"Individuals convicted of a Felony","Non-violent offences",4,"Right-handed individuals",5.83444353051513
"Did not reoffend","Males",46,"African-Americans",12,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",6,"Right-handed individuals",6.05314001815462
"Did not reoffend","Males",23,"African-Americans",2,0,0,"Individuals convicted of a Felony","Non-violent offences",6,"Right-handed individuals",5.83741605631127
"Did not reoffend","Females",36,"African-Americans",1,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",2,"Right-handed individuals",5.91370726242775
"Did not reoffend","Females",29,"African-Americans",1,0,0,"Individuals convicted of a Misdemeanor","Non-violent offences",4,"Right-handed individuals",5.58321382873517
"Did not reoffend","Males",25,"African-Americans",2,0,0,"Individuals convicted of a Felony","Non-violent offences",6,"Right-handed individuals",6.18904891750395
"Did reoffend","Males",22,"Caucasians",2,0,1,"Individuals convicted of a Felony","Violent offences",9,"Left-handed individuals",6.17067251401084
"Did reoffend","Females",32,"Hispanics",8,0,0,"Individuals convicted of a Misdemeanor","Violent offences",5,"Left-handed individuals",5.99021486809832
